mkw_id,doc_ids...
00000000,00000000,00000002,00000003,00000005
00000001,00000000,00000002,00000003,00000005
00000002,00000000,00000002,00000003,00000005
00000003,00000000
00000004,00000000,00000002,00000003,00000005,00000006
00000005,00000000,00000002,00000003,00000005,00000006
00000006,00000000,00000002,00000003,00000005,00000006
00000007,00000000,00000002,00000006
00000008,00000000,00000002,00000003,00000005,00000006
00000009,00000000,00000002,00000003,00000005,00000006
0000000A,00000000,00000002,00000003,00000005,00000006
0000000B,00000000,00000002,00000006
0000000C,00000000,00000002,00000003,00000005,00000006
0000000D,00000000,00000002,00000003,00000005,00000006
0000000E,00000000,00000002,00000006
0000000F,00000000,00000002,00000003,00000005,00000006
00000010,00000000,00000002,00000003,00000005,00000006
00000011,00000000,00000002,00000006
00000012,00000000,00000002,00000003,00000005,00000006
00000013,00000000,00000002,00000006
00000014,00000000,00000002,00000006
00000015,00000000,00000002,00000006
00000016,00000000,00000002,00000006
00000017,00000000,00000002,00000006
00000018,00000000,00000002,00000003,00000005,00000006
00000019,00000000,00000002,00000003,00000005,00000006
0000001A,00000000,00000002,00000003,00000005,00000006
0000001B,00000000,00000002,00000003,00000005,00000006
0000001C,00000000,00000002,00000003,00000005,00000006
0000001D,00000000,00000001,00000002,00000006,00000008
0000001E,00000000,00000001,00000002,00000006,00000008
0000001F,00000000,00000001,00000002,00000006,00000008
00000020,00000001
00000021,00000000,00000001,00000002,00000004,00000005,00000006,00000008
00000022,00000000,00000001,00000002,00000004,00000005,00000006,00000008
00000023,00000000,00000001,00000002,00000004,00000005,00000006,00000008
00000024,00000000,00000001,00000004,00000005,00000006
00000025,00000000,00000001,00000002,00000004,00000005,00000006,00000008
00000026,00000000,00000001,00000002,00000004,00000005,00000006,00000008
00000027,00000000,00000001,00000004,00000005,00000006
00000028,00000000,00000004,00000005,00000006
00000029,00000000,00000001,00000002,00000004,00000005,00000006,00000008
0000002A,00000000,00000001,00000002,00000004,00000005,00000006,00000008
0000002B,00000000,00000001,00000002,00000004,00000005,00000006
0000002C,00000000,00000001,00000002,00000004,00000005,00000006,00000008
0000002D,00000000,00000001,00000002,00000004,00000005,00000006
0000002E,00000000,00000001,00000002,00000004,00000005,00000006
0000002F,00000000,00000001,00000002,00000004,00000005,00000006,00000008
00000030,00000000,00000001,00000002,00000004,00000005,00000006,00000008
00000031,00000000,00000001,00000002,00000004,00000005,00000006,00000008
00000032,00000000,00000001,00000002,00000004,00000005,00000006,00000008
00000033,00000000,00000001,00000002,00000004,00000005,00000006,00000008
00000034,00000000,00000002,00000004,00000005,00000006,00000008
00000035,00000000,00000001,00000002,00000004,00000005,00000006,00000008
00000036,00000000,00000001,00000002,00000004,00000005,00000006,00000008
00000037,00000000,00000001,00000002,00000004,00000005,00000006,00000008
00000038,00000000,00000001,00000002,00000004,00000005,00000006,00000008
00000039,00000000,00000001,00000002,00000004,00000005,00000006,00000008
0000003A,00000001
0000003B,00000001
0000003C,00000001
0000003D,00000001
0000003E,00000001
0000003F,00000001
00000040,00000001
00000041,00000001
00000042,00000001
00000043,00000001
00000044,00000001
00000045,00000001
00000046,00000001
00000047,00000001
00000048,00000001
00000049,00000001
0000004A,00000001
0000004B,00000001
0000004C,00000001
0000004D,00000001
0000004E,00000001
0000004F,00000001
00000050,00000001
00000051,00000001
00000052,00000001
00000053,00000001
00000054,00000001
00000055,00000001
00000056,00000001
00000057,00000001,00000002,00000003,00000007,00000008
00000058,00000001,00000002,00000007,00000008
00000059,00000002,00000007,00000008
0000005A,00000002,00000007,00000008
0000005B,00000001,00000002,00000007,00000008
0000005C,00000001,00000002,00000007,00000008
0000005D,00000001,00000002,00000007,00000008
0000005E,00000001,00000002,00000007,00000008
0000005F,00000001,00000002,00000003,00000007,00000008
00000060,00000001,00000002,00000003,00000007,00000008
00000061,00000001,00000002,00000003,00000007,00000008
00000062,00000001,00000003
00000063,00000001,00000002,00000003,00000007,00000008
00000064,00000001,00000002,00000003,00000007,00000008
00000065,00000001,00000002,00000003,00000007,00000008
00000066,00000001,00000002,00000003,00000007,00000008
00000067,00000001,00000002,00000003,00000007,00000008
00000068,00000001,00000002,00000003,00000007,00000008
00000069,00000001,00000002,00000003,00000007,00000008
0000006A,00000001,00000002,00000003,00000007,00000008
0000006B,00000001,00000002,00000003,00000007,00000008
0000006C,00000001,00000002,00000003,00000007,00000008
0000006D,00000001,00000002,00000003,00000007,00000008
0000006E,00000001,00000002,00000003
0000006F,00000001,00000002,00000003,00000007,00000008
00000070,00000001,00000002,00000003,00000007,00000008
00000071,00000001,00000002,00000003,00000007,00000008
00000072,00000001,00000002,00000003
00000073,00000001,00000002,00000003
00000074,00000002,00000003,00000005,00000007,00000008
00000075,00000002,00000003,00000005,00000007,00000008
00000076,00000003,00000005,00000007
00000077,00000003,00000005
00000078,00000002,00000003,00000005,00000007,00000008
00000079,00000002,00000003,00000005,00000007
0000007A,00000002,00000003,00000005,00000007
0000007B,00000002,00000003
0000007C,00000002,00000003,00000005,00000007
0000007D,00000002,00000003,00000005,00000007
0000007E,00000002,00000003,00000005
0000007F,00000002
00000080,00000002,00000003,00000005,00000007,00000008
00000081,00000002,00000003,00000005,00000007,00000008
00000082,00000002,00000003,00000005,00000008
00000083,00000002,00000003,00000005,00000007,00000008
00000084,00000002,00000003,00000005,00000008
00000085,00000002,00000003,00000005,00000008
00000086,00000002,00000003,00000005,00000008
00000087,00000002,00000003,00000005,00000008
00000088,00000002,00000003,00000008
00000089,00000002,00000003,00000005,00000007,00000008
0000008A,00000002,00000003,00000005,00000007,00000008
0000008B,00000002,00000003,00000007,00000008
0000008C,00000002,00000003,00000005,00000007,00000008
